id,Id,Geography,Population,Unemployment Rate,Population Percent,Z Score,dM Score,P(D|M),P(M|D),Surprise,SignedSurprise
1123,0500000US01123,"Tallapoosa County, Alabama",41616,0.137,0.000134791,1.493777516,0.017342661,0.986163252,0.493081626,0.00991173,0.00991173
1125,0500000US01125,"Tuscaloosa County, Alabama",194656,0.09,0.000630474,0.074015137,0.001858464,0.998517161,0.499258581,0.001068849,0.001068849
1127,0500000US01127,"Walker County, Alabama",67023,0.119,0.000217082,0.950038732,0.013997578,0.988831913,0.494415957,0.008010918,0.008010918
1129,0500000US01129,"Washington County, Alabama",17581,0.151,5.69E-05,1.916685458,0.014463463,0.988460228,0.494230114,0.00827597,0.00827597
1131,0500000US01131,"Wilcox County, Alabama",11670,0.256,3.78E-05,5.088495027,0.031284156,0.975042926,0.487521463,0.017776183,0.017776183
1133,0500000US01133,"Winston County, Alabama",24484,0.175,7.93E-05,2.641670503,0.02352445,0.981231935,0.490615968,0.013410451,0.013410451
2013,0500000US02013,"Aleutians East Borough, Alaska",3141,0.101,1.02E-05,0.406299949,0.001295927,0.998966,0.499483,0.000745487,0.000745487
2016,0500000US02016,"Aleutians West Census Area, Alaska",5561,0.084,1.80E-05,-0.107231124,-0.00045509,0.999636891,0.499818446,0.00026188,-0.00026188
2020,0500000US02020,"Anchorage Municipality, Alaska",291826,0.07,0.000945199,-0.530139066,-0.016298643,0.98699614,0.49349807,0.009319046,-0.009319046
2050,0500000US02050,"Bethel Census Area, Alaska",17013,0.148,5.51E-05,1.826062328,0.013555193,0.989184852,0.494592426,0.00775914,0.00775914
2060,0500000US02060,"Bristol Bay Borough, Alaska",997,0.036,3.23E-06,-1.557201213,-0.002798285,0.997767294,0.498883647,0.001608757,-0.001608757
2068,0500000US02068,"Denali Borough, Alaska",1826,0.034,5.91E-06,-1.617616633,-0.003933921,0.996861193,0.498430597,0.002260613,-0.002260613
2070,0500000US02070,"Dillingham Census Area, Alaska",4847,0.084,1.57E-05,-0.107231124,-0.000424871,0.999661002,0.499830501,0.000244494,-0.000244494
2090,0500000US02090,"Fairbanks North Star Borough, Alaska",97581,0.069,0.000316056,-0.560346777,-0.009961831,0.99205174,0.49602587,0.005710611,-0.005710611
2100,0500000US02100,"Haines Borough, Alaska",2508,0.062,8.12E-06,-0.771800748,-0.002199726,0.998244874,0.499122437,0.001264944,-0.001264944
2105,0500000US02105,"Hoonah-Angoon Census Area, Alaska",2150,0.197,6.96E-06,3.306240127,0.008724756,0.99303874,0.49651937,0.005003969,0.005003969
2110,0500000US02110,"Juneau City and Borough, Alaska",31275,0.057,0.000101297,-0.922839299,-0.009288047,0.992589317,0.496294659,0.005325821,-0.005325821
2122,0500000US02122,"Kenai Peninsula Borough, Alaska",55400,0.097,0.000179436,0.285469108,0.003823963,0.996948927,0.498474463,0.002197523,0.002197523
2130,0500000US02130,"Ketchikan Gateway Borough, Alaska",13477,0.061,4.37E-05,-0.802008458,-0.005298772,0.995772212,0.497886106,0.003043249,-0.003043249
2150,0500000US02150,"Kodiak Island Borough, Alaska",13592,0.066,4.40E-05,-0.650969907,-0.004319189,0.996553796,0.498276898,0.002481622,-0.002481622
2164,0500000US02164,"Lake and Peninsula Borough, Alaska",1631,0.059,5.28E-06,-0.862423878,-0.0019822,0.998418434,0.499209217,0.001139956,-0.001139956
2170,0500000US02170,"Matanuska-Susitna Borough, Alaska",88995,0.088,0.000288247,0.013599717,0.000230894,0.999815773,0.499907887,0.000132879,0.000132879
2180,0500000US02180,"Nome Census Area, Alaska",9492,0.121,3.07E-05,1.010454153,0.005602671,0.995529739,0.497764869,0.003217394,0.003217394
2185,0500000US02185,"North Slope Borough, Alaska",9430,0.057,3.05E-05,-0.922839299,-0.005100134,0.9959307,0.49796535,0.002929399,-0.002929399
2188,0500000US02188,"Northwest Arctic Borough, Alaska",7523,0.132,2.44E-05,1.342738965,0.006628065,0.994711608,0.497355804,0.003804664,0.003804664
2195,0500000US02195,"Petersburg Census Area, Alaska",3815,0.114,1.24E-05,0.799000182,0.002808625,0.997759044,0.498879522,0.001614695,0.001614695
2198,0500000US02198,"Prince of Wales-Hyder Census Area, Alaska",5559,0.165,1.80E-05,2.339593401,0.009927465,0.992079159,0.496039579,0.005690991,0.005690991
2220,0500000US02220,"Sitka City and Borough, Alaska",8881,0.059,2.88E-05,-0.862423878,-0.004625422,0.99630946,0.49815473,0.002657243,-0.002657243
2230,0500000US02230,"Skagway Municipality, Alaska",968,0.223,3.14E-06,4.091640591,0.00724494,0.994219425,0.497109712,0.004157729,0.004157729
2240,0500000US02240,"Southeast Fairbanks Census Area, Alaska",7029,0.081,2.28E-05,-0.197854254,-0.000944043,0.999246763,0.499623381,0.000543141,-0.000543141
2261,0500000US02261,"Valdez-Cordova Census Area, Alaska",9636,0.064,3.12E-05,-0.711385328,-0.00397423,0.996829032,0.498414516,0.00228374,-0.00228374
2270,0500000US02270,"Wade Hampton Census Area, Alaska",7459,0.204,2.42E-05,3.517694098,0.017290121,0.986205167,0.493102583,0.009881916,0.009881916
2275,0500000US02275,"Wrangell City and Borough, Alaska",2369,0.11,7.67E-06,0.678169341,0.00187854,0.998501143,0.499250572,0.001080386,0.001080386
2282,0500000US02282,"Yakutat City and Borough, Alaska",662,0.063,2.14E-06,-0.741593038,-0.001085911,0.999133568,0.499566784,0.000624727,-0.000624727
2290,0500000US02290,"Yukon-Koyukuk Census Area, Alaska",5588,0.136,1.81E-05,1.463569805,0.006226461,0.995032035,0.497516017,0.003574713,0.003574713
4001,0500000US04001,"Apache County, Arizona",71518,0.148,0.000231641,1.826062328,0.0277922,0.977827887,0.488913943,0.015815166,0.015815166
4003,0500000US04003,"Cochise County, Arizona",131346,0.074,0.000425418,-0.409308226,-0.008442257,0.993264134,0.496632067,0.004842499,-0.004842499
4005,0500000US04005,"Coconino County, Arizona",134421,0.077,0.000435378,-0.318685095,-0.006649592,0.994694433,0.497347216,0.003816987,-0.003816987
4007,0500000US04007,"Gila County, Arizona",53597,0.109,0.000173596,0.647961631,0.008537273,0.993188324,0.496594162,0.004896812,0.004896812
4009,0500000US04009,"Graham County, Arizona",37220,0.144,0.000120552,1.705231487,0.018722817,0.985062226,0.492531113,0.010694442,0.010694442
4011,0500000US04011,"Greenlee County, Arizona",8437,0.215,2.73E-05,3.84997891,0.020125748,0.98394306,0.49197153,0.011489141,0.011489141
4012,0500000US04012,"La Paz County, Arizona",20489,0.089,6.64E-05,0.043807427,0.000356868,0.99971526,0.49985763,0.000205367,0.000205367
4013,0500000US04013,"Maricopa County, Arizona",3817117,0.085,0.012363311,-0.077023414,-0.008564266,0.993166788,0.496583394,0.004912241,-0.004912241
4015,0500000US04015,"Mohave County, Arizona",200186,0.102,0.000648385,0.436507659,0.011114972,0.991131718,0.495565859,0.006368663,0.006368663
4017,0500000US04017,"Navajo County, Arizona",107449,0.142,0.000348018,1.644816067,0.030684439,0.975521201,0.487760601,0.017439815,0.017439815
4019,0500000US04019,"Pima County, Arizona",980263,0.084,0.003174987,-0.107231124,-0.006042154,0.995179088,0.497589544,0.003469157,-0.003469157
4021,0500000US04021,"Pinal County, Arizona",375770,0.118,0.001217086,0.919831022,0.032089929,0.974400335,0.487200167,0.018227847,0.018227847
4023,0500000US04023,"Santa Cruz County, Arizona",47420,0.172,0.000153589,2.551047372,0.03161542,0.974778746,0.487389373,0.017961907,0.017961907
4025,0500000US04025,"Yavapai County, Arizona",211033,0.095,0.000683518,0.225053688,0.005883842,0.995305401,0.4976527,0.003378476,0.003378476
4027,0500000US04027,"Yuma County, Arizona",195751,0.242,0.00063402,4.665587085,0.11747838,0.906480975,0.453240488,0.064202128,0.064202128
5001,0500000US05001,"Arkansas County, Arkansas",19019,0.143,6.16E-05,1.675023777,0.013146631,0.989510808,0.494755404,0.00752653,0.00752653
5003,0500000US05003,"Ashley County, Arkansas",21853,0.091,7.08E-05,0.104222847,0.000876835,0.999300387,0.499650193,0.000504488,0.000504488
5005,0500000US05005,"Baxter County, Arkansas",41513,0.082,0.000134457,-0.167646544,-0.001943956,0.998448949,0.499224474,0.001117979,-0.001117979
5007,0500000US05007,"Benton County, Arkansas",221339,0.053,0.000716898,-1.04367014,-0.027944213,0.977706645,0.488853323,0.015900657,-0.015900657
5009,0500000US05009,"Boone County, Arkansas",36903,0.064,0.000119526,-0.711385328,-0.007777417,0.993794581,0.496897291,0.004462346,-0.004462346
5011,0500000US05011,"Bradley County, Arkansas",11508,0.078,3.73E-05,-0.288477385,-0.001761211,0.998594758,0.499297379,0.001012955,-0.001012955
5013,0500000US05013,"Calhoun County, Arkansas",5368,0.062,1.74E-05,-0.771800748,-0.003218186,0.997432264,0.498716132,0.00184985,-0.00184985
5015,0500000US05015,"Carroll County, Arkansas",27446,0.043,8.89E-05,-1.345747241,-0.012688278,0.989876491,0.494938245,0.007265479,-0.007265479
5017,0500000US05017,"Chicot County, Arkansas",11800,0.096,3.82E-05,0.255261398,0.001578068,0.998740884,0.499370442,0.000907688,0.000907688
5019,0500000US05019,"Clark County, Arkansas",22995,0.063,7.45E-05,-0.741593038,-0.00640003,0.99489355,0.497446775,0.003674104,-0.003674104
5021,0500000US05021,"Clay County, Arkansas",16083,0.104,5.21E-05,0.49692308,0.003586513,0.997138383,0.498569192,0.002061264,0.002061264
5023,0500000US05023,"Cleburne County, Arkansas",25970,0.059,8.41E-05,-0.862423878,-0.007909634,0.993689091,0.496844545,0.004537964,-0.004537964
5025,0500000US05025,"Cleveland County, Arkansas",8689,0.06,2.81E-05,-0.832216168,-0.004414898,0.996477432,0.498238716,0.002536515,-0.002536515
5027,0500000US05027,"Columbia County, Arkansas",24552,0.081,7.95E-05,-0.197854254,-0.001764365,0.998592241,0.49929612,0.001014768,-0.001014768
5029,0500000US05029,"Conway County, Arkansas",21273,0.065,6.89E-05,-0.681177617,-0.005654242,0.995488592,0.497744296,0.003246941,-0.003246941
5031,0500000US05031,"Craighead County, Arkansas",96443,0.059,0.000312371,-0.862423878,-0.015242485,0.987838727,0.493919364,0.008718944,-0.008718944
5033,0500000US05033,"Crawford County, Arkansas",61948,0.066,0.000200644,-0.650969907,-0.009220919,0.992642875,0.496321438,0.005287473,-0.005287473
5035,0500000US05035,"Crittenden County, Arkansas",50902,0.099,0.000164867,0.345884529,0.004441178,0.996456464,0.498228232,0.002551587,0.002551587
5037,0500000US05037,"Cross County, Arkansas",17870,0.071,5.79E-05,-0.499931356,-0.003803403,0.996965331,0.498482666,0.002185726,-0.002185726
5039,0500000US05039,"Dallas County, Arkansas",8116,0.076,2.63E-05,-0.348892805,-0.001788804,0.998572742,0.499286371,0.001028814,-0.001028814
5041,0500000US05041,"Desha County, Arkansas",13008,0.099,4.21E-05,0.345884529,0.002245102,0.998208669,0.499104335,0.001291014,0.001291014
5043,0500000US05043,"Drew County, Arkansas",18509,0.091,5.99E-05,0.104222847,0.000806964,0.999356136,0.499678068,0.0004643,0.0004643
5045,0500000US05045,"Faulkner County, Arkansas",113237,0.06,0.000366765,-0.832216168,-0.015937859,0.987283967,0.493641983,0.00911411,-0.00911411
5047,0500000US05047,"Franklin County, Arkansas",18125,0.059,5.87E-05,-0.862423878,-0.006607839,0.994727746,0.497363873,0.003793084,-0.003793084
5049,0500000US05049,"Fulton County, Arkansas",12245,0.061,3.97E-05,-0.802008458,-0.005050775,0.995970082,0.497985041,0.002901106,-0.002901106
5051,0500000US05051,"Garland County, Arkansas",96024,0.066,0.000311013,-0.650969907,-0.011480227,0.990840306,0.495420153,0.00657697,-0.00657697
5053,0500000US05053,"Grant County, Arkansas",17853,0.057,5.78E-05,-0.922839299,-0.007017482,0.994400905,0.497200453,0.004027565,-0.004027565
5055,0500000US05055,"Greene County, Arkansas",42090,0.082,0.000136326,-0.167646544,-0.001957419,0.998438207,0.499219103,0.001125715,-0.001125715
5057,0500000US05057,"Hempstead County, Arkansas",22609,0.086,7.32E-05,-0.046815704,-0.000400619,0.999680352,0.499840176,0.00023054,-0.00023054
5059,0500000US05059,"Hot Spring County, Arkansas",32923,0.073,0.000106635,-0.439515936,-0.004538622,0.996378716,0.498189358,0.002607469,-0.002607469
5061,0500000US05061,"Howard County, Arkansas",13789,0.072,4.47E-05,-0.469723646,-0.003139124,0.997495346,0.498747673,0.001804462,-0.001804462
5063,0500000US05063,"Independence County, Arkansas",36647,0.078,0.000118696,-0.288477385,-0.003142901,0.997492332,0.498746166,0.00180663,-0.00180663
5065,0500000US05065,"Izard County, Arkansas",13696,0.077,4.44E-05,-0.318685095,-0.002122552,0.99830645,0.499153225,0.001220603,-0.001220603
5067,0500000US05067,"Jackson County, Arkansas",17997,0.092,5.83E-05,0.134430558,0.001026355,0.999181087,0.499590544,0.000590479,0.000590479
5069,0500000US05069,"Jefferson County, Arkansas",77435,0.092,0.000250805,0.134430558,0.002128954,0.998301342,0.499150671,0.001224282,0.001224282
5071,0500000US05071,"Johnson County, Arkansas",25540,0.061,8.27E-05,-0.802008458,-0.007294391,0.99417997,0.497089985,0.004186024,-0.004186024
5073,0500000US05073,"Lafayette County, Arkansas",7645,0.086,2.48E-05,-0.046815704,-0.000232959,0.999814125,0.499907063,0.000134068,-0.000134068
5075,0500000US05075,"Lawrence County, Arkansas",17415,0.079,5.64E-05,-0.258269675,-0.001939701,0.998452343,0.499226172,0.001115534,-0.001115534
5077,0500000US05077,"Lee County, Arkansas",10424,0.082,3.38E-05,-0.167646544,-0.000974118,0.999222767,0.499611383,0.000560437,-0.000560437
5079,0500000US05079,"Lincoln County, Arkansas",14134,0.082,4.58E-05,-0.167646544,-0.001134297,0.999094962,0.499547481,0.000652551,-0.000652551
5081,0500000US05081,"Little River County, Arkansas",13171,0.056,4.27E-05,-0.953047009,-0.006224771,0.995033384,0.497516692,0.003573745,-0.003573745
5083,0500000US05083,"Logan County, Arkansas",22353,0.077,7.24E-05,-0.318685095,-0.002711623,0.99783644,0.49891822,0.001558989,-0.001558989
5085,0500000US05085,"Lonoke County, Arkansas",68356,0.052,0.000221399,-1.07387785,-0.015978752,0.987251343,0.493625671,0.009137342,-0.009137342
5087,0500000US05087,"Madison County, Arkansas",15717,0.053,5.09E-05,-1.04367014,-0.007446424,0.994058668,0.497029334,0.004273008,-0.004273008
5089,0500000US05089,"Marion County, Arkansas",16653,0.112,5.39E-05,0.738584761,0.005424332,0.995672031,0.497836015,0.003115204,0.003115204
5091,0500000US05091,"Miller County, Arkansas",43462,0.045,0.00014077,-1.285331821,-0.015249997,0.987832734,0.493916367,0.008723214,-0.008723214
5093,0500000US05093,"Mississippi County, Arkansas",46480,0.113,0.000150545,0.768792471,0.009432826,0.992473805,0.496236903,0.005408521,0.005408521
5095,0500000US05095,"Monroe County, Arkansas",8149,0.074,2.64E-05,-0.409308226,-0.002102821,0.998322193,0.499161096,0.001209266,-0.001209266
5097,0500000US05097,"Montgomery County, Arkansas",9487,0.058,3.07E-05,-0.892631589,-0.004948076,0.996052023,0.498026011,0.002842235,-0.002842235
5099,0500000US05099,"Nevada County, Arkansas",8997,0.087,2.91E-05,-0.016607993,-8.97E-05,0.999928467,0.499964234,5.16E-05,-5.16E-05
5101,0500000US05101,"Newton County, Arkansas",8330,0.062,2.70E-05,-0.771800748,-0.00400892,0.996801353,0.498400677,0.002303642,-0.002303642
5103,0500000US05103,"Ouachita County, Arkansas",26120,0.071,8.46E-05,-0.499931356,-0.004598293,0.996331106,0.498165553,0.002641687,-0.002641687
5105,0500000US05105,"Perry County, Arkansas",10445,0.056,3.38E-05,-0.953047009,-0.005543298,0.995577111,0.497788556,0.003183374,-0.003183374
5107,0500000US05107,"Phillips County, Arkansas",21757,0.088,7.05E-05,0.013599717,0.000114164,0.99990891,0.499954455,6.57E-05,6.57E-05
5109,0500000US05109,"Pike County, Arkansas",11291,0.063,3.66E-05,-0.741593038,-0.00448468,0.996421755,0.498210877,0.002576535,-0.002576535
5111,0500000US05111,"Poinsett County, Arkansas",24583,0.075,7.96E-05,-0.379100516,-0.003382762,0.997300951,0.498650476,0.001944322,-0.001944322
5113,0500000US05113,"Polk County, Arkansas",20662,0.064,6.69E-05,-0.711385328,-0.005819568,0.995356683,0.497678341,0.003341657,-0.003341657
5115,0500000US05115,"Pope County, Arkansas",61754,0.062,0.000200016,-0.771800748,-0.010915343,0.991290989,0.495645495,0.006254788,-0.006254788
5117,0500000US05117,"Prairie County, Arkansas",8715,0.067,2.82E-05,-0.620762197,-0.00329806,0.997368533,0.498684267,0.001895702,-0.001895702
5119,0500000US05119,"Pulaski County, Arkansas",382748,0.06,0.001239688,-0.832216168,-0.029301663,0.976624001,0.488312,0.01666358,-0.01666358
5121,0500000US05121,"Randolph County, Arkansas",17969,0.073,5.82E-05,-0.439515936,-0.003353021,0.997324682,0.498662341,0.001927251,-0.001927251
5123,0500000US05123,"St. Francis County, Arkansas",28258,0.094,9.15E-05,0.194845978,0.001864068,0.99851269,0.499256345,0.001072069,0.001072069
5125,0500000US05125,"Saline County, Arkansas",107118,0.058,0.000346946,-0.892631589,-0.016626588,0.986734513,0.493367257,0.009505274,-0.009505274
5127,0500000US05127,"Scott County, Arkansas",11233,0.063,3.64E-05,-0.741593038,-0.004473147,0.996430957,0.498215478,0.002569921,-0.002569921
5129,0500000US05129,"Searcy County, Arkansas",8195,0.059,2.65E-05,-0.862423878,-0.00444319,0.996454859,0.498227429,0.002552741,-0.002552741
5131,0500000US05131,"Sebastian County, Arkansas",125744,0.062,0.000407274,-0.771800748,-0.015575733,0.987572866,0.493786433,0.00890835,-0.00890835
5133,0500000US05133,"Sevier County, Arkansas",17058,0.051,5.52E-05,-1.10408556,-0.00820666,0.993452106,0.496726053,0.004707809,-0.004707809
5135,0500000US05135,"Sharp County, Arkansas",17264,0.078,5.59E-05,-0.288477385,-0.002157159,0.998278838,0.499139419,0.001240487,-0.001240487
5137,0500000US05137,"Stone County, Arkansas",12394,0.066,4.01E-05,-0.650969907,-0.004124453,0.996709172,0.498354586,0.00236992,-0.00236992
5139,0500000US05139,"Union County, Arkansas",41639,0.095,0.000134865,0.225053688,0.002613581,0.997914667,0.498957333,0.001502681,0.001502681
5141,0500000US05141,"Van Buren County, Arkansas",17295,0.091,5.60E-05,0.104222847,0.000780051,0.99937761,0.499688805,0.00044882,0.00044882
5143,0500000US05143,"Washington County, Arkansas",203065,0.05,0.00065771,-1.13429327,-0.029089921,0.976792874,0.488396437,0.016544634,-0.016544634
5145,0500000US05145,"White County, Arkansas",77076,0.067,0.000249642,-0.620762197,-0.009808091,0.992174401,0.4960872,0.005622831,-0.005622831
5147,0500000US05147,"Woodruff County, Arkansas",7260,0.091,2.35E-05,0.104222847,0.000505395,0.999596753,0.499798377,0.000290822,0.000290822
5149,0500000US05149,"Yell County, Arkansas",22185,0.064,7.19E-05,-0.711385328,-0.006030236,0.995188597,0.497594299,0.003462331,-0.003462331
6001,0500000US06001,"Alameda County, California",1510271,0.113,0.004891637,0.768792471,0.053769527,0.957118788,0.478559394,0.030259361,0.030259361
6003,0500000US06003,"Alpine County, California",1175,0.152,3.81E-06,1.946893168,0.00379805,0.996969602,0.498484801,0.002182655,0.002182655
